#t x y z vx vy vz
8.199360000000000000e+16 2.888088897614385360e+02 1.955884832563154703e+02 -6.287790218088280092e+00 1.533759702398513411e+02 3.259677500370607817e+01 -3.605099947672936622e+01
8.514720000000000000e+16 3.043248100203965123e+02 1.988139936446187903e+02 -1.007648075690730138e+01 1.502587792458109561e+02 3.052400818995898746e+01 -3.809079059652473376e+01
8.830080000000000000e+16 3.195292212796624085e+02 2.018358269490952637e+02 -1.406563181769817561e+01 1.472799762217442208e+02 2.861096950254473725e+01 -3.997385931068267695e+01
9.145440000000000000e+16 3.344357326332948901e+02 2.046693472178317847e+02 -1.824016577775547177e+01 1.444291048398352189e+02 2.683886541547362015e+01 -4.171859283050361711e+01
9.460800000000000000e+16 3.490569324083863307e+02 2.073281451630474805e+02 -2.258674040020613205e+01 1.416966457953294594e+02 2.519178662158317294e+01 -4.334056412453332285e+01
9.776160000000000000e+16 3.634044803395943859e+02 2.098243055934813697e+02 -2.709348781898505010e+01 1.390739465458338202e+02 2.365617304315149028e+01 -4.485305253871657527e+01
1.009152000000000000e+17 3.774891923106968079e+02 2.121686260302961102e+02 -3.174980104452152929e+01 1.365531461143217200e+02 2.222039351985358380e+01 -4.626745312038477920e+01
1.040688000000000000e+17 3.913211174522864439e+02 2.143707968174634857e+02 -3.654615797935525023e+01 1.341271007016062242e+02 2.087441259711967589e+01 -4.759360133503828649e+01
1.072224000000000000e+17 4.049096078337275344e+02 2.164395505914404225e+02 -4.147397530135760491e+01 1.317893131492012060e+02 1.960952412241525522e+01 -4.884003283586703503e+01
1.103760000000000000e+17 4.182633812171811769e+02 2.183827871669538183e+02 -4.652548632457615696e+01 1.295338677064314368e+02 1.841813656092298856e+01 -5.001419291806416823e+01
1.135296000000000000e+17 4.313905774430516544e+02 2.202076785456852122e+02 -5.169363825738412999e+01 1.273553706350778754e+02 1.729359870013881917e+01 -5.112260665500718204e+01
1.166832000000000000e+17 4.442988090440567248e+02 2.219207577367769773e+02 -5.697200526586235725e+01 1.252488966632970318e+02 1.623005715494631929e+01 -5.217101805844607298e+01
1.198368000000000000e+17 4.569952066718841479e+02 2.235279943035852170e+02 -6.235471450285612605e+01 1.232099410179585846e+02 1.522233910529279122e+01 -5.316450464670383269e+01
1.229904000000000000e+17 4.694864598855505733e+02 2.250348589566605710e+02 -6.783638284111310668e+01 1.212343766243579921e+02 1.426585520153073539e+01 -5.410757234719577724e+01
1.261440000000000000e+17 4.817788538056929610e+02 2.264463790529336222e+02 -7.341206249643835235e+01 1.193184160059497287e+02 1.335651870042358524e+01 -5.500423456477662398e+01
1.292976000000000000e+17 4.938783020908489902e+02 2.277671865023401665e+02 -7.907719407601513240e+01 1.174585774087360477e+02 1.249067774851514478e+01 -5.585807841823901043e+01
1.324512000000000000e+17 5.057903766441550033e+02 2.290015593012891202e+02 -8.482756586153251988e+01 1.156516546936375249e+02 1.166505838092222902e+01 -5.667232051423464867e+01
1.356048000000000000e+17 5.175203344138706143e+02 2.301534576894193833e+02 -9.065927835401662094e+01 1.138946905725235439e+02 1.087671630440074999e+01 -5.744985414089189391e+01
1.387584000000000000e+17 5.290731416097264628e+02 2.312265557485448824e+02 -9.656871328035057900e+01 1.121849528018119599e+02 1.012299592136969828e+01 -5.819328938604813573e+01
1.419120000000000000e+17 5.404534956196553139e+02 2.322242691204127425e+02 -1.025525064002276281e+02 1.105199129871128605e+02 9.401495354015006356e+00 -5.890498739060230804e+01
1.450656000000000000e+17 5.516658448780092385e+02 2.331497794052116888e+02 -1.086075235641822445e+02 1.088972276907347236e+02 8.710036464994344030e+00 -5.958708971628399809e+01
